"","Hi_2338_1","Hi_2338_2","Hi_2338_3","Hi_2338_4","Hi_2338_5","Hi_2338_6","Hi_2338_7","Hi_2338_8","Hi_2338_9","Hi_2338_10","Hi_2338_11","Hi_2338_12","Hi_2338_13","Hi_2338_14","Hi_2338_15","Hi_2338_16","Hi_2338_17","Hi_2338_18","Hi_2338_19","Hi_2338_20","Hi_2338_21","Hi_2338_22","Hi_2339_1","Hi_2339_2","Hi_2339_3","Hi_2339_4","Hi_2339_5","Hi_2339_6","Hi_2339_7","Hi_2339_8","Hi_2339_9","Hi_2339_10","Hi_2339_11","Hi_2339_12","Hi_2339_13","Hi_2339_14","Hi_2339_15","Hi_2339_16","Hi_2339_17","Hi_K562_1","Hi_K562_2","Hi_K562_3","Hi_K562_4","Hi_K562_5","Hi_K562_6","Hi_K562_7","Hi_K562_8","Hi_K562_9","Hi_K562_10","Hi_K562_11","Hi_BJ_1","Hi_BJ_2","Hi_BJ_3","Hi_BJ_4","Hi_BJ_5","Hi_BJ_6","Hi_BJ_7","Hi_BJ_8","Hi_BJ_9","Hi_BJ_10","Hi_BJ_11","Hi_BJ_12","Hi_BJ_13","Hi_BJ_14","Hi_BJ_15","Hi_BJ_16","Hi_BJ_17","Hi_BJ_18","Hi_BJ_19","Hi_BJ_20","Hi_BJ_21","Hi_BJ_22","Hi_BJ_23","Hi_BJ_24","Hi_BJ_25","Hi_BJ_26","Hi_BJ_27","Hi_BJ_28","Hi_BJ_29","Hi_BJ_30","Hi_BJ_31","Hi_BJ_32","Hi_BJ_33","Hi_BJ_34","Hi_BJ_35","Hi_BJ_36","Hi_BJ_37","Hi_K562_12","Hi_K562_13","Hi_K562_14","Hi_K562_15","Hi_K562_16","Hi_K562_17","Hi_K562_18","Hi_K562_19","Hi_K562_20","Hi_K562_21","Hi_K562_22","Hi_K562_23","Hi_K562_24","Hi_K562_25","Hi_K562_26","Hi_K562_27","Hi_K562_28","Hi_K562_29","Hi_K562_30","Hi_K562_31","Hi_K562_32","Hi_K562_33","Hi_K562_34","Hi_K562_35","Hi_K562_36","Hi_K562_37","Hi_K562_38","Hi_K562_39","Hi_K562_40","Hi_K562_41","Hi_K562_42","Hi_HL60_1","Hi_HL60_2","Hi_HL60_3","Hi_HL60_4","Hi_HL60_5","Hi_HL60_6","Hi_HL60_7","Hi_HL60_8","Hi_HL60_9","Hi_HL60_10","Hi_HL60_11","Hi_HL60_12","Hi_HL60_13","Hi_HL60_14","Hi_HL60_15","Hi_HL60_16","Hi_HL60_17","Hi_HL60_18","Hi_HL60_19","Hi_HL60_20","Hi_HL60_21","Hi_HL60_22","Hi_HL60_23","Hi_HL60_24","Hi_HL60_25","Hi_HL60_26","Hi_HL60_27","Hi_HL60_28","Hi_HL60_29","Hi_HL60_30","Hi_HL60_31","Hi_HL60_32","Hi_HL60_33","Hi_HL60_34","Hi_HL60_35","Hi_HL60_36","Hi_HL60_37","Hi_HL60_38","Hi_HL60_39","Hi_HL60_40","Hi_HL60_41","Hi_HL60_42","Hi_HL60_43","Hi_HL60_44","Hi_HL60_45","Hi_HL60_46","Hi_HL60_47","Hi_HL60_48","Hi_HL60_49","Hi_HL60_50","Hi_HL60_51","Hi_HL60_52","Hi_HL60_53","Hi_HL60_54","Hi_iPS_1","Hi_iPS_2","Hi_iPS_3","Hi_iPS_4","Hi_iPS_5","Hi_iPS_6","Hi_iPS_7","Hi_iPS_8","Hi_iPS_9","Hi_iPS_10","Hi_iPS_11","Hi_iPS_12","Hi_iPS_13","Hi_iPS_14","Hi_iPS_15","Hi_iPS_16","Hi_iPS_17","Hi_iPS_18","Hi_iPS_19","Hi_iPS_20","Hi_iPS_21","Hi_iPS_22","Hi_iPS_23","Hi_iPS_24","Hi_Kera_1","Hi_Kera_2","Hi_Kera_3","Hi_Kera_4","Hi_Kera_5","Hi_Kera_6","Hi_Kera_7","Hi_Kera_8","Hi_Kera_9","Hi_Kera_10","Hi_Kera_11","Hi_Kera_12","Hi_Kera_13","Hi_Kera_14","Hi_Kera_15","Hi_Kera_16","Hi_Kera_17","Hi_Kera_18","Hi_Kera_19","Hi_Kera_20","Hi_Kera_21","Hi_Kera_22","Hi_Kera_23","Hi_Kera_24","Hi_Kera_25","Hi_Kera_26","Hi_Kera_27","Hi_Kera_28","Hi_Kera_29","Hi_Kera_30","Hi_Kera_31","Hi_Kera_32","Hi_Kera_33","Hi_Kera_34","Hi_Kera_35","Hi_Kera_36","Hi_Kera_37","Hi_Kera_38","Hi_Kera_39","Hi_Kera_40","Hi_GW21.2_1","Hi_GW21.2_2","Hi_GW21.2_3","Hi_GW21.2_4","Hi_GW21.2_5","Hi_GW21.2_6","Hi_GW21.2_7","Hi_GW21.2_8","Hi_GW21.2_9","Hi_GW21.2_10","Hi_GW21.2_11","Hi_GW21.2_12","Hi_GW21.2_13","Hi_GW21.2_14","Hi_GW21.2_15","Hi_GW21.2_16","Hi_GW21_1","Hi_GW21_2","Hi_GW21_3","Hi_GW21_4","Hi_GW21_5","Hi_GW21_6","Hi_GW21_7","Hi_GW21_8","Hi_NPC_1","Hi_NPC_2","Hi_NPC_3","Hi_NPC_4","Hi_NPC_5","Hi_NPC_6","Hi_NPC_7","Hi_NPC_8","Hi_NPC_9","Hi_NPC_10","Hi_NPC_11","Hi_NPC_12","Hi_NPC_13","Hi_NPC_14","Hi_NPC_15","Hi_GW16_1","Hi_GW16_2","Hi_GW16_3","Hi_GW16_4","Hi_GW16_5","Hi_GW16_6","Hi_GW16_7","Hi_GW16_8","Hi_GW16_9","Hi_GW16_10","Hi_GW16_11","Hi_GW16_12","Hi_GW16_13","Hi_GW16_14","Hi_GW16_15","Hi_GW16_16","Hi_GW16_17","Hi_GW16_18","Hi_GW16_19","Hi_GW16_20","Hi_GW16_21","Hi_GW16_22","Hi_GW16_23","Hi_GW16_24","Hi_GW16_25","Hi_GW16_26"
"ANKRD44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,26.91,0,52.02,177.52,11.26,0.85,0.32,0,0.14,55.71,2.19,117.05,91.77,44.97,42.53,5.65,0,0,0,0,0.24,0,0,0,0,0,0,0,0,4.22,32.89,6.39,37.98,0,0,3.49,2.21,0,13.33,19.57,13.46,0,15.63,0,2.46,3.43,0,3.78,6.46,0,0,13.73,0.55,0,0,0,0,12.71,0,0,0.57,8.11,0,0,0,0,0,0,0,0.66,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.58,0,0,0,0.38,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.58,0,0,0,39.68,9.44,1.29,0,0,0,100.07,50.65,1.06,0,0,0,187.29,0.51,0,12.17,0,11.12,91.97,0,0,0,22.69,0,13.62,0,3.34,39.8,0.47,0,0,0,0,0,0,2.75,0.14,0,0,0.18,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.24,0,0,0,461.41,778.85,371.28,32.1,0,0,0,230.98,0.2,105.96,0,363.9,404.75,246.68,42.58,0,82.07,0,1.15,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.15,0.25,0,0,92.82,0,2066.24,0,0,16.76,0,0,0,0,0.24,281.18,32.75,0,0,0,0,0
"ST8SIA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMPRSS11A",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.5,0,0,0,0,0,0,0,0,0,0,0,0,115.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPL2",0.85,0.14,0,0,0,28,0,0,0,0,0.41,0,0,0.33,0,0,123.53,0,0,66.07,103.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,3.44,0,0,0,0,1.98,0,0,1.67,0,10.13,7.05,26.98,0,0,1.61,0,58.66,0,0,0,0,0,3.73,14.05,0,20.79,22.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0.16,0,0,0,0,43.2,0,0,76.07,0,1.2,5.04,6.48,15.84,0.12,0,5.85,0,68.96,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.53,0.6,15.89,0,0,0,22.67,0,73.98,0,3.49,0,18.92,0,0,982.41,0,0,0.19,0,0,0,2.61,0,0,5.85,0,0.73,0,0.45,0.56,91.77,1.15,5.06,72.66,1.11,270.25,0.7,0,0,0,0,0,0,0,0,0,0,0,0.35,56.94,0,0,0,519.8,0,0,0,0,0,28.11,0,0,0
"RIMS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,208.23,0,0,0,0,0,0,0,129.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCL11B",0,0,0,0,0.4,0,0,0.61,0,0,0,0,0,0,1.7,0,0,0,0,0,0,1.34,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.19,0,0,0,0.16,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0.1,0.28,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.37,0,1.71,0.61,0,0,0,0,0,0,0,0,0,0,3.65,0.19,0.99,0,0,0,0,0.12,0,3.47,10.71,24.48,24.84,3.92,6.12,6.6,0.53,26.99,5.39,0,0.11,0,0,12.92,0,6.03,9.29,13.83,0,0,43.04,9.76,0.13,1.75,11.71,25.53,0.11,0.9,0.9,3.63,0,15.62,0.12,2.45,0,2.35,9.04,0.79,0,0,0,314.38,14.36,0,0,0,0,0.12,0.43,19.84,143.54,0,0,0.57,0.28,22.77,208.05,70.13,0,0.05,2.05,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,57.78,0,4.26,0,0.05,0,332.33,143.64,1531.78,2.77,356.43,0.17,0,103.43,0,0.11,0,0,0,0,1.72,0,1.64,0,76.54,96.52,0,581.33
"OR6A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.98,0,0,0,0,176.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDIK1L",0,91.75,0,0.89,0,38.14,38.75,38.73,0,0,0,0,0.13,160.57,0,6.84,3.75,0,9.92,0,0,0,0,0,0.12,0,0,146.08,0,0,0,0,0,25.4,0,0,0.28,0,0,16.05,18.92,19.49,1.07,24.69,90.08,10.66,9.18,9.02,24.83,31.92,0,0,0,0,0,0,3.08,0,0,33.85,0,19.11,0,0,0,0,0,18.07,0,0,0,8.64,0,0,41.86,0,11.07,0.24,37.35,0,0,0,0,0,22.92,0,0.41,29.71,7.57,10.49,0,6.1,1.4,61.47,0,32.08,20.05,8.25,11.93,0,15.41,18.65,0,8.6,26.77,1.12,0.41,76.18,0,46.58,6.33,5.56,4.49,25.61,14.75,44.17,32.91,85.72,0,0,0,0,0.55,0,0,72.03,0,0,0,0,0,9.09,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.12,11.54,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.08,0,0,0,0,0,0.16,0,0,0,0,0,0,59.28,0,0,0,0,0,0,0,0,0,0,0,0,0,540.4,0,0,0,0,703.33,7.52,659.81,19.04,0,28.52,115.92,201.79,18.05,0,7.37,0.1,0.22,221.91,213.13,0,0,0,0,0,67.55,0,0,9.38,0,11.06,0,182.87,26.1,0,0,0,58.6,0,0,35.57,0,0,0.23,53.59,0,0.26,0,0,0,0,1881.07,1.27,0,0,0,0.26,0,0,0,0,0,0.51,0,0
"CRH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0.36,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.55,0,0,0,0,0,0,0,0,0,0
"MIR4737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF3",1.38,0,8.56,11.46,2.88,0,59.13,41.14,40.82,0,66.66,0,0,11.02,0,0.18,96.24,10.57,0.33,2.4,54.73,0,0,120.45,0,0,0,0.94,0,5.91,92.39,42.96,0,0.16,15.7,0,6.42,1.78,0.25,57.5,8.12,26.81,2.62,49.17,59.69,75.56,69.09,21.67,74.79,10.21,31.56,12.96,0,0,0,1.11,0.92,5.44,8.16,25.05,84.86,0,0,37.64,103.9,25.4,7.22,0,113.98,117.25,0,4.3,0,2.46,159.14,0,0,0,0,0,104.95,0.48,0,0,158.72,8.37,0.62,16.56,34.84,26.24,0.6,80.51,213.03,9.9,1.56,9.25,29.95,54.41,15.01,71.35,10.41,50.39,26.13,71.41,118.31,17.25,192.1,11.02,11.01,1.09,51.95,8.25,14.39,0,0.58,88.17,59.73,3.68,0,0.77,0,0,0,0,0,0,0,136.81,0,0,1.71,191.52,606.78,0,0.92,0,358.27,0,17.55,0,0,272.29,0.68,0,0,0,0,4.52,207.03,0,14.64,4.2,86.3,1.12,0,3.35,252.62,1.36,0,0,0,30.16,1013.03,0,0,0,7.59,161.89,0.16,8.38,3.94,11.62,32.36,5.72,16.39,13.3,56.74,78.91,3.34,0.82,0.65,19.32,13.62,36.79,30.59,148.4,0,75.2,30.02,2.99,0.13,0.18,3.6,7.15,0.98,61.37,9.94,0,51.55,0,0,0,0,53.45,0,0.76,0,0,0,0,0,0,0.95,12.61,0.79,0,0,0,0.53,0,81.4,10.2,85.86,0.29,2.25,0,0.81,161.65,0.81,0,108.37,0,129.75,6.78,0,0,0,4.26,0,0,0.33,150.91,0,2.11,13.17,0,13.17,294.13,9.08,2.42,0,24.06,0,0,0,0.1,0,0,13.26,0,0,0,0.17,0,0.67,0,3.65,0,0,0,0,0,31.18,0,0,0,0.98,28.69,0,2025.58,19.98,1028.97,0,0.58,0,0,0,0,17.97,0.35,1.33,0.68,0.39,0,0,6.21,7.19,0,0,393.52,10.52
"GUSBP1",31.06,0,90.62,0,0,10.04,40.91,0,0,0.35,24.63,11.05,0.97,4.11,2.85,79.35,0,4.29,104.32,0,6.89,31.86,0,0,0.66,0,0,14.57,0,0,38.25,97.06,235,293.96,262.22,171.83,0,15.02,104.39,109.91,80.28,0,21.35,0.43,85.13,3.24,9.66,37.76,62.22,101.58,0,16.14,35.95,0,13.44,0,12.97,0,8.62,0,0,27.97,177.03,38.57,47.63,11.48,4.74,32.72,39.68,5.69,0,4.56,0,0,53.86,60.44,0,4.93,89.22,0,0,0,88.25,0,3.78,16.5,25.23,0.17,107.59,93.95,19.61,75.2,36.39,53.15,10.52,41.67,29.84,38.36,2.67,38.78,41.8,13.81,14.55,26.54,33.4,11.36,86.34,38.65,16.75,120.19,44.74,40.63,37.33,100.92,52.43,9.23,8.55,18.79,0,36.87,9.57,51.53,0,0,42.33,40,0,542.77,11.19,0,229.75,62.41,666.74,0,0,315.36,0.77,0,183.22,0,0,26.73,0,0,0,0,186.03,0,22.65,31.41,3.68,0,268.35,0,141.49,0,50.29,0,0,0.64,0,0,0,110.16,0,0,0,0.44,7.43,0,0,0,0,2.13,9.08,0,1.76,0,17.78,0.24,0,0,0,0,3.91,0,9.65,0,0,0,14.61,0,25.44,0.92,0,2.83,0,0,0,101.55,123.94,0,0,4.34,0,210.88,2.93,0,0,0,0,0,4.24,0,153.73,0,0,0,78.34,87.36,0,0,0,51.35,0,38.72,0,0,0,0,0,0,0,45.97,0,0,0,565.47,4.56,0,441.86,54.25,0,0,0,5.25,0,0,0,0,0,48.62,0,6.79,0,53.14,0,0,406.73,0.27,0,78.99,0,1,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,1566.44,985.48,1133.49,0.34,0,0,0,0,0,0,0,64.65,16.2,13.81,0,0,0,0,0,0,1445.54,104.15
"CHTOP",84.68,86.82,13.6,110.2,5.14,65.26,88.65,26.25,0.29,65.19,25.3,28.23,20.41,2.23,19.21,0,32.72,15.18,90.03,150.7,22.28,3.26,237.35,0.51,9.34,14.37,56.23,127.77,0,0,0,9.69,0,0.25,59.98,17.57,1.37,68.71,127.81,0.39,29.76,1.65,33.04,92.48,16.96,66.04,30.63,27.15,23.91,9.95,36.63,19.44,4.37,17,2.99,0,19.41,18.65,43.4,58.02,27.28,38.05,51.32,3.11,6.96,38,0,14.58,4.64,30.23,21.98,21.6,35.58,7.77,17.23,58.46,0,6.03,394.52,104.9,0,62.97,0,182.31,0,0,22.02,91.95,19.72,7.64,43.22,11.88,7.88,14.48,22.71,29.22,27.92,21.81,24.46,75.04,62.56,59.74,43.78,12.31,62.87,48.38,1.76,65.09,10.9,48.05,45.77,11.08,29.35,63.34,22.39,27.54,6.76,4.49,204.38,14.43,142.09,0,0,0,112.75,6.95,61.74,29.49,3.31,8.12,5.37,53.3,0,23.86,119.69,2.35,0,0,0,0,94.97,144.57,3.18,7.98,0,295.85,8.33,89.81,116.79,10.59,75.28,170.79,1.43,0,176.04,0,333.38,740.43,0,10.64,70.96,69.8,177.21,0.56,1.5,8.23,4.36,0.32,222.03,66.59,2.15,1.2,96.37,39.1,8.37,34.29,7.12,18.5,18.55,17.06,0.2,41.66,21.97,1,96.12,0,8.24,1.79,10.57,12.51,4.96,44.84,3.53,3.03,25.07,10.98,33.97,27.74,22.01,79.63,20.5,14.39,56.55,3.08,16.35,10.06,198.31,1.5,61.7,0,16.48,178.69,7.52,116.66,13.03,71.13,23.01,16.11,2.11,0,68.69,0,28.43,8.15,0,0,57.96,42.14,221.94,8.65,4.75,15.25,76.5,9.96,80.86,0.35,103.17,0,1.01,0,0,4.37,137.23,10.67,0,129.28,5.12,1.17,746.21,203.04,240.36,398.38,0,3.05,0,0,46.95,988.17,1623.89,68.03,0.35,0,3.28,261.73,57.43,26.46,0,1.24,0.7,41.58,143.21,53.31,0,0,0,0,0,0,62.61,0.53,6.95,2.79,0.52,0.91,0.72,2.23,97.09,248.46,158.97,0,15.3,675.28,245.08,2410.97,111.85,0,63.64,0,0,80.4,0
"SPSB3",9.18,5.99,0,22.2,0,0,2.91,0,0,0,19.9,2.45,59.55,0,0,36.51,48.77,0,0,5.71,23.01,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0.46,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,2,20.68,0,0,0,0,3.5,3.99,0,0,0,0,0,0,0,0,19.13,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,4.84,0,1.14,0,0,0.54,1.84,0,0.45,0,0,0.84,0,0,0,0,0,0.48,0,0,0,6.6,0,0,0,0,0,0,0,0,0,2.01,0,0,44.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,11.51,0.6,0,0,0.39,0,0,0,1.08,42.16,0.39,0,0,1.28,23.52,0,0,0,0.42,32.53,0.24,0,0,5.18,0,1.69,23.2,0,0.35,0,0,133.72,0.3,0,27.14,7.27,29.92,0,0,0,6.53,0,0,7.06,0,0,0,0,0,0,0,3,0,0,4.33,62.85,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.17,0,0,144.45,0,46.98,0,0,0,0,142.73,0,0,5.38,0,0,0,18.82,0,0,0,1.19,7.39,0,0,0.39,0,0,5.62,0,0,154.82,0,0,541.77,0,1.05,0,0,0,0,0,0,0.92,649.22,0,17.74,0,0,90.28,0,0,29.18,0,0,0,1847.99
